#group,false,false,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_time,_value,_field,_measurement,station_id,station_name,station_owner,station_pgm,station_type
,,0,2023-03-25T01:00:00Z,12,lat,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,1,2023-03-25T01:00:00Z,-23,lon,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,2,2023-03-25T01:00:00Z,1011.1,sea_level_pressure_hpa,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,3,2023-03-25T01:00:00Z,50,wind_dir_degt,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,4,2023-03-25T01:00:00Z,1.9,wind_speed_mps,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,5,2023-03-25T01:00:00Z,2.5,gust_speed_mps,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,6,2023-03-25T01:00:00Z,0.5,air_temp_degc,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,7,2023-03-25T01:00:00Z,9,sea_surface_temp_degc,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,8,2023-03-25T01:00:00Z,15.6,dewpoint_temp_degc,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,9,2023-03-25T01:00:00Z,0.9,significant_wave_height_m,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,10,2023-03-25T01:00:00Z,3,dominant_wave_period_sec,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,11,2023-03-25T01:00:00Z,2.8,avg_wave_period_sec,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy
,,12,2023-03-25T01:00:00Z,0.33,water_level_ft,ndbc,13001,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy

,,0,2023-03-25T01:00:00Z,-12,lat,ndbc,14043,14043,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy
,,1,2023-03-25T01:00:00Z,67,lon,ndbc,14043,14043,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy
,,2,2023-03-25T01:00:00Z,1011.1,sea_level_pressure_hpa,ndbc,14043,14043,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy
,,3,2023-03-25T01:00:00Z,50,wind_dir_degt,ndbc,14043,14043,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy
,,4,2023-03-25T01:00:00Z,1.9,wind_speed_mps,ndbc,14043,14043,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy
,,5,2023-03-25T01:00:00Z,2.5,gust_speed_mps,ndbc,14043,14043,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy
